densidad,ratioEnergetico,ratioCoberturaServicios,contaminacion,contaminacionAcumulada,estabilidadMedia,tendenciaEstabilidad,tendenciaContaminacion,bienestar,scoreViabilidad,colapsoDetectado,ciclosEjecutados,saturacionDetectada,objetivo
0.06,0.4166666666666667,0.0,60.0,60.0,0.453,-0.010000000000000009,40.0,0.3441666666666666,44.27666666666667,1.0,3.0,0.0,1
0.06,0.0,0.5,30.0,30.0,0.458,-0.0050000000000000044,20.0,0.42,48.459999999999994,1.0,3.0,0.0,1
0.047337278106508875,0.4166666666666667,0.5,30.0,30.0,0.6563658777120316,-0.0050000000000000044,20.0,0.6291666666666667,63.09723865877712,1.0,3.0,0.0,1
0.047337278106508875,0.4166666666666667,0.5,30.0,30.0,0.6563658777120316,-0.0050000000000000044,20.0,0.6291666666666667,63.09723865877712,1.0,3.0,0.0,1
0.07,1.1764705882352942,0.75,50.0,50.0,0.7624583333333332,-0.011249999999999982,45.0,0.6475,81.34916666666666,0.0,10.0,0.0,3
